KR_7083486436,0,28,6,8,5,1,8,20,9,0,0,0,0,4,25364,29013,327,86,0,0,0,73,12,6,3,0,20,8,16,0,1,3,2,8,32400,34096,422,85,1,0,0,1247.52
KR_7081415091,0,27,4,3,2,0,11,21,14,1,0,0,1,9,26660,28476,332,95,0,0,1,32,4,7,3,1,21,11,17,0,0,6,3,9,32768,32596,355,96,1,0,0,1341.01
KR_7075731891,1,31,10,9,4,0,11,13,16,1,0,3,1,6,24993,27241,318,66,1,0,0,33,7,11,7,1,13,11,12,1,0,3,0,1,28599,29414,381,59,0,0,1,1831.539
KR_7074772046,0,53,7,9,2,1,11,8,16,1,0,5,1,9,28408,32757,396,106,1,0,0,27,4,7,3,0,8,11,13,1,1,1,0,4,26914,31292,416,98,0,0,1,1843.728
KR_7091464824,1,28,4,2,2,1,16,14,16,0,0,6,1,14,29848,30998,357,82,1,0,0,26,4,7,3,0,14,16,13,1,0,0,1,1,28326,32072,380,97,0,0,1,1456.152
KR_7085397389,0,33,7,19,7,1,8,9,9,0,1,6,1,10,27103,28121,366,88,1,0,0,40,9,10,5,0,9,8,14,2,0,0,0,3,26970,28540,354,88,0,0,1,1868.467
KR_7106536331,1,38,5,11,5,1,12,14,11,0,0,3,2,7,30767,31656,425,76,1,0,0,31,10,11,2,0,14,12,19,2,0,0,0,0,27535,29792,360,78,0,0,1,2107.078
KR_7062347102,1,32,4,13,5,1,7,18,6,0,0,4,1,9,25916,30080,382,86,0,0,0,33,6,8,3,0,18,7,20,2,1,2,1,5,32982,34880,410,132,1,0,1,1983.037
KR_7092408886,1,54,2,8,4,0,28,15,38,1,0,5,3,10,33391,31197,313,91,0,0,1,36,4,5,1,1,15,28,26,0,0,1,1,7,30553,29374,336,90,1,0,0,930.439
KR_7079902668,1,31,10,16,4,1,23,12,32,2,1,6,1,11,33594,33291,346,120,1,0,1,44,4,7,5,0,12,23,11,0,0,0,0,3,25024,27078,296,72,0,0,0,955.311
KR_7084978226,1,30,9,4,3,1,19,17,29,1,0,0,0,9,29763,28893,303,72,0,0,1,27,5,8,4,0,17,19,19,0,0,6,0,7,29410,28756,319,86,0,0,0,1799.99
KR_7088330594,0,27,4,6,3,1,10,17,13,0,0,3,0,10,27097,29004,362,80,0,0,0,30,9,3,2,0,17,10,23,2,0,3,0,2,28263,31129,375,82,0,0,1,1775.294
KR_7099986051,1,39,11,12,5,1,25,10,28,1,0,2,2,17,33648,30245,333,84,1,0,0,37,6,12,6,0,10,25,14,1,0,1,0,3,26345,27918,296,82,0,0,1,1728.3
KR_7065741467,1,41,6,9,6,1,17,11,19,1,0,6,2,12,31417,31191,362,111,1,0,1,30,8,12,5,0,11,17,11,0,0,0,0,5,26884,28130,368,60,0,0,0,1265.969
KR_7079491481,0,32,6,10,5,1,14,16,19,1,0,5,1,9,29541,29911,322,98,1,0,1,36,11,10,4,0,16,14,19,0,0,1,0,1,29368,29962,372,86,0,0,0,1649.814
KR_7078801823,0,149,3,11,5,1,9,18,10,0,0,2,0,6,24277,27508,286,87,0,0,0,28,8,15,3,0,18,9,18,2,0,4,2,7,32144,32791,396,87,1,0,1,1133.077
KR_7103849716,1,35,11,13,3,1,20,6,26,2,1,6,3,16,33776,32948,397,105,1,0,1,36,7,10,5,0,6,20,8,0,0,0,0,4,25444,28575,356,78,0,0,0,1534.873
KR_7097136199,0,58,4,8,6,0,10,17,13,2,0,3,2,11,26745,29225,322,97,1,0,1,74,13,4,3,1,17,10,25,0,1,3,1,1,31000,32927,348,105,0,0,0,1147.097
KR_7097300042,1,36,7,8,1,1,20,8,23,2,0,3,2,14,32587,34481,375,127,1,0,1,30,2,5,2,0,8,20,7,0,0,3,0,4,25152,29906,355,88,0,0,0,1181.939
KR_7104379706,0,36,7,12,6,0,21,18,25,0,0,6,2,13,32392,31005,331,90,1,0,0,55,9,12,5,1,18,21,25,1,0,0,0,3,30636,29669,322,83,0,0,1,1738.408
KR_7088797248,0,40,8,9,4,0,8,14,9,0,0,0,1,5,26241,29833,370,60,0,0,0,77,7,15,5,1,14,8,23,2,0,6,2,6,30871,32995,415,123,1,0,1,1042.465
KR_7083562132,1,22,7,8,3,0,12,7,11,0,0,6,2,8,29188,31917,410,82,1,0,0,24,5,7,4,1,7,12,10,2,0,0,0,3,25405,28724,368,100,0,0,1,1216.296
KR_7079538349,0,104,4,10,7,1,12,11,17,1,0,0,0,4,26279,30268,368,86,0,0,0,71,10,11,4,0,11,12,14,1,1,6,2,6,28877,30856,401,101,1,0,1,2050.252
KR_7089190045,0,61,4,5,3,1,10,10,14,0,1,3,4,10,28322,31282,389,90,1,0,0,26,8,10,2,0,10,10,16,2,0,3,0,2,27162,30554,387,83,0,0,1,1415.325
KR_7096659328,1,54,7,11,4,0,14,12,17,0,0,6,2,11,31364,32107,418,112,1,0,0,65,7,12,5,1,12,14,11,2,0,0,0,1,27252,31436,390,85,0,0,1,1273.778
KR_7095457975,0,35,8,9,3,1,10,16,18,0,1,6,1,10,30094,30425,395,90,1,0,0,34,8,10,6,0,16,10,28,2,0,0,0,4,28355,30968,344,113,0,0,1,1370.876
KR_7082191990,1,32,6,4,2,0,10,8,12,1,0,3,1,12,26450,29587,365,67,0,0,0,25,3,9,4,1,8,10,11,1,1,0,1,6,27270,30608,383,94,1,0,1,1802.298
KR_7091963292,0,30,9,8,3,0,20,11,22,0,0,6,1,7,30279,29956,332,96,0,0,0,53,8,12,6,1,11,20,16,1,0,0,1,5,26795,26726,343,61,1,0,1,1754.576
KR_7067292171,0,28,5,6,4,0,9,15,7,1,0,3,1,7,26046,30135,391,62,0,0,1,34,6,9,3,1,15,9,17,0,0,3,1,2,29014,32577,351,125,1,0,0,1454.509
KR_7071873551,1,28,6,6,2,1,14,11,15,2,0,3,0,8,26807,29985,310,114,0,0,1,33,6,11,5,0,11,14,15,0,0,3,1,6,27566,28789,331,78,1,0,0,1838.354
KR_7101048924,0,35,11,8,2,1,15,19,30,1,0,3,3,12,31402,29980,371,106,1,0,1,28,5,12,9,0,19,15,28,1,0,3,1,6,31138,30967,336,106,0,0,0,1370.314
KR_7106148455,0,30,8,21,3,0,11,11,20,0,0,3,2,13,29514,30356,390,84,1,0,0,42,5,13,7,1,11,11,9,2,0,3,3,9,30390,32519,382,115,0,0,1,1417.825
KR_7093815950,1,26,7,8,4,1,26,13,25,0,0,6,3,13,34738,32978,347,104,1,0,0,29,7,6,2,0,13,26,10,1,0,0,0,3,27552,30019,342,83,0,0,1,1379.231
KR_7097916111,1,34,12,15,10,1,17,9,15,1,1,6,1,8,29900,33031,415,89,1,0,1,32,12,11,7,0,9,17,14,0,0,0,0,1,24849,27554,370,75,0,0,0,1441.059
KR_7082010648,1,144,11,11,6,0,15,14,17,1,0,6,0,8,27468,28352,343,84,0,0,1,29,8,11,7,1,14,15,24,0,0,0,0,1,28760,28253,362,67,0,0,0,1597.679
KR_7079878290,1,31,10,12,3,0,16,10,19,2,1,6,2,12,31434,32258,381,112,1,0,1,156,3,8,4,1,10,16,17,0,0,0,0,1,26825,30237,393,96,0,0,0,1350.868
KR_7085226487,0,84,6,8,2,1,7,11,1,0,0,2,1,8,25870,31039,398,83,1,0,0,23,6,39,4,0,11,7,7,2,0,4,0,1,26281,31404,385,69,0,0,1,2008.06
